fold,feature,importance_mean,importance_std,model,feature_space
4,clay_pct_sd,-0.013576895715106651,0.0064334043602103765,ridge,raw
4,sand_pct_sd,-0.004701777388079087,0.0020918484166510174,ridge,raw
4,silt_pct_sd,-0.0008597125642753056,0.0006405010159920394,ridge,raw
4,bulk_density_sd,-0.04201595575369872,0.021135855800910392,ridge,raw
4,cation_exchange_capacity_sd,0.057355692116466093,0.02031955112449111,ridge,raw
4,season,0.0834031139503681,0.046621778295335044,ridge,raw
4,crop,0.24771263198581384,0.27960519981350734,ridge,raw
5,rain_total_mm,-0.11598575333109418,0.04371073504582823,ridge,raw
5,rainy_days_1mm,-0.11010134097212357,0.025346847157850887,ridge,raw
5,heavy_rain_days_20mm,0.30364698679384733,0.09126539990723577,ridge,raw
5,maximum_5day_rainfall_mm,-0.1792128954159498,0.034615148443262585,ridge,raw
5,longest_dry_spell_days,-0.03607878309696257,0.01030676363950971,ridge,raw
5,wet_day_rainfall_cv,0.18979298820863946,0.04774836684035423,ridge,raw
5,temperature_mean_c,-0.24411095691115606,0.052499739419534126,ridge,raw
5,temperature_maximum_c,0.045697555894629274,0.035724766831948876,ridge,raw
5,growing_degree_days,0.08633463859667127,0.025648961729836068,ridge,raw
5,heat_days_32c,-0.18390942545886668,0.08680342771337166,ridge,raw
5,soil_ph,-0.6294624170700093,0.20499280769201905,ridge,raw
5,soil_organic_carbon,-0.12258593826592205,0.031044345196400064,ridge,raw
5,clay_pct,-0.03445379393069725,0.008601998315721948,ridge,raw
5,sand_pct,0.01189796460203114,0.0029491899652194955,ridge,raw
5,silt_pct,-0.025284186648252938,0.006303553740946036,ridge,raw
5,bulk_density,0.0039014775669214074,0.0009682645810479988,ridge,raw
5,cation_exchange_capacity,0.009900638269034978,0.0024548595561582147,ridge,raw
5,soil_ph_sd,-0.11900525003848354,0.030119715231889065,ridge,raw
5,soil_organic_carbon_sd,0.17709030274034046,0.04284018329670853,ridge,raw
5,clay_pct_sd,0.010050832026655066,0.0024920424598174683,ridge,raw
5,sand_pct_sd,-0.1820828212683887,0.04657607872511563,ridge,raw
5,silt_pct_sd,-0.16202377208621402,0.04130362790748245,ridge,raw
5,bulk_density_sd,0.19422017093867633,0.04687087157341539,ridge,raw
5,cation_exchange_capacity_sd,0.056656934337810584,0.013948590795610415,ridge,raw
5,season,0.03340989529253528,0.0820141497574781,ridge,raw
5,crop,-0.053210970490914986,0.24890524144038942,ridge,raw
1,rain_total_mm,0.0,0.0,dummy_mean,pca
1,rainy_days_1mm,0.0,0.0,dummy_mean,pca
1,heavy_rain_days_20mm,0.0,0.0,dummy_mean,pca
1,maximum_5day_rainfall_mm,0.0,0.0,dummy_mean,pca
1,longest_dry_spell_days,0.0,0.0,dummy_mean,pca
1,wet_day_rainfall_cv,0.0,0.0,dummy_mean,pca
1,temperature_mean_c,0.0,0.0,dummy_mean,pca
1,temperature_maximum_c,0.0,0.0,dummy_mean,pca
1,growing_degree_days,0.0,0.0,dummy_mean,pca
1,heat_days_32c,0.0,0.0,dummy_mean,pca
1,soil_ph,0.0,0.0,dummy_mean,pca
1,soil_organic_carbon,0.0,0.0,dummy_mean,pca
1,clay_pct,0.0,0.0,dummy_mean,pca
1,sand_pct,0.0,0.0,dummy_mean,pca
1,silt_pct,0.0,0.0,dummy_mean,pca
1,bulk_density,0.0,0.0,dummy_mean,pca
