district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Rukungiri,-0.7188219227669995,29.90370531323003,36.8,32.65,30.55,34.43333333333334,1.1716666666666666,22.95,5.75,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Alebtong,2.3132434092721423,33.266323164562756,35.66666666666667,40.03333333333333,24.333333333333336,22.733333333333334,1.3016666666666665,21.383333333333333,6.15,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Amolatar,1.6112529219003882,32.68450245416171,39.0,35.55,25.466666666666665,26.21666666666667,1.3233333333333335,19.43333333333333,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Apac,1.9426493805849774,32.439277346604705,39.4,36.95,23.666666666666664,27.48333333333333,1.3316666666666666,22.616666666666667,6.15,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Dokolo,1.9603107248231633,33.09781783605168,39.68333333333333,37.71666666666666,22.6,18.783333333333335,1.2933333333333334,17.183333333333334,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kole,2.3295358464481875,32.77280396644526,38.96666666666667,39.46666666666667,21.6,22.55,1.3383333333333334,21.03333333333333,6.3,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Lira,2.3948669632318484,32.94536913071559,35.36666666666667,39.31666666666667,25.35,24.56666666666667,1.2583333333333333,20.85,6.216666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Otuke,2.4655362958876967,33.37592240993547,34.83333333333333,38.43333333333333,26.7,22.98333333333333,1.26,23.9,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Oyam,2.3694520335046176,32.516143000214996,40.46666666666667,37.7,21.81666666666667,22.766666666666666,1.3,21.7,6.216666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Buikwe,0.37361902946262626,33.03446193061818,35.9,38.61666666666666,25.466666666666665,29.333333333333332,1.3016666666666665,15.6,5.516666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Buvuma,0.16839032186404293,33.27736552367799,36.13333333333333,35.78333333333333,28.1,40.28333333333333,1.145,19.5,5.3,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kayunga,0.8665786370556292,32.94045985291192,34.55,40.45,25.016666666666666,24.25,1.33,19.466666666666665,5.9,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kiboga,0.7951726886562009,31.934944200910518,37.45,36.45,26.06666666666667,34.083333333333336,1.2483333333333335,22.6,6.116666666666666,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kyankwanzi,1.1287866845477044,31.60949093464832,32.0,39.41666666666667,28.583333333333332,23.866666666666667,1.3583333333333334,20.766666666666666,6.05,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Luwero,0.813711465627938,32.53422184459911,29.93333333333333,44.93333333333334,25.133333333333333,21.9,1.3533333333333335,17.866666666666667,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mityana,0.44313509727649947,32.06371925372011,29.5,43.11666666666667,27.43333333333333,30.21666666666667,1.32,17.866666666666667,5.616666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
