spatial_unit,date,tmax_c,tmin_c
Acholi,2016-05-20,29.0475,19.666249999999998
Acholi,2016-05-21,26.017500000000002,19.95875
Acholi,2016-05-22,28.99625,19.767500000000002
Acholi,2016-05-23,29.5,20.37625
Acholi,2016-05-24,28.36375,20.31625
Acholi,2016-05-25,26.45375,20.17625
Acholi,2016-05-26,29.07375,18.72375
Acholi,2016-05-27,28.99875,19.99625
Acholi,2016-05-28,30.395,19.825
Acholi,2016-05-29,29.155,20.35125
Acholi,2016-05-30,30.6925,18.26625
Acholi,2016-05-31,31.4525,17.881249999999998
Acholi,2016-06-01,32.505,18.44375
Acholi,2016-06-02,33.02125,18.2725
Acholi,2016-06-03,33.51125,19.0125
Acholi,2016-06-04,32.67125,21.02875
Acholi,2016-06-05,31.25,21.3125
Acholi,2016-06-06,32.668749999999996,20.7225
Acholi,2016-06-07,32.47375,19.87875
Acholi,2016-06-08,32.277499999999996,20.2325
Acholi,2016-06-09,31.99375,20.84
Acholi,2016-06-10,32.36125,20.4825
Acholi,2016-06-11,31.86,21.12375
Acholi,2016-06-12,32.31625,20.05875
Acholi,2016-06-13,32.4625,21.18625
Acholi,2016-06-14,25.9,20.63375
Acholi,2016-06-15,26.30125,19.7975
Acholi,2016-06-16,27.49125,18.45125
Acholi,2016-06-17,26.915,18.427500000000002
Acholi,2016-06-18,24.80875,18.1225
Acholi,2016-06-19,27.9,18.11625
Acholi,2016-06-20,28.09375,18.425
Acholi,2016-06-21,25.48625,18.90375
Acholi,2016-06-22,26.59,18.07
Acholi,2016-06-23,25.78625,17.5175
Acholi,2016-06-24,25.6075,18.96
Acholi,2016-06-25,26.7125,18.42
Acholi,2016-06-26,27.36875,18.58125
Acholi,2016-06-27,26.93875,18.96
Acholi,2016-06-28,26.53875,18.86375
Acholi,2016-06-29,28.44375,17.71
Acholi,2016-06-30,29.052500000000002,17.29625
Acholi,2016-07-01,28.6475,18.87875
Acholi,2016-07-02,29.87375,17.958750000000002
Acholi,2016-07-03,29.75125,19.99125
Acholi,2016-07-04,28.2175,19.83125
Acholi,2016-07-05,27.66125,19.435
Acholi,2016-07-06,29.49,18.26
Acholi,2016-07-07,28.48625,18.6475
Acholi,2016-07-08,25.93375,18.63125
Acholi,2016-07-09,29.3325,18.785
Acholi,2016-07-10,30.41,19.3325
Acholi,2016-07-11,27.1625,19.169999999999998
Acholi,2016-07-12,29.66375,18.59625
Acholi,2016-07-13,29.25375,18.6875
Acholi,2016-07-14,27.9375,18.475
Acholi,2016-07-15,29.6675,19.00375
Acholi,2016-07-16,29.835,19.28375
Acholi,2016-07-17,32.0375,18.60125
Acholi,2016-07-18,31.564999999999998,19.57
Acholi,2016-07-19,31.6325,20.33375
Acholi,2016-07-20,29.2125,20.177500000000002
Acholi,2016-07-21,26.15875,19.02875
Acholi,2016-07-22,30.445,18.63625
Acholi,2016-07-23,28.5375,19.73375
Acholi,2016-07-24,27.2375,19.0925
Acholi,2016-07-25,29.064999999999998,19.060000000000002
Acholi,2016-07-26,30.23375,19.37375
Acholi,2016-07-27,29.75875,19.39125
Acholi,2016-07-28,25.26625,19.3125
Acholi,2016-07-29,29.884999999999998,18.11875
Acholi,2016-07-30,30.06375,17.92125
Acholi,2016-07-31,30.16875,18.82125
Acholi,2016-08-01,30.38625,19.169999999999998
Acholi,2016-08-02,30.697499999999998,18.7175
Acholi,2016-08-03,27.515,19.025
Acholi,2016-08-04,29.32,18.11375
Acholi,2016-08-05,29.81125,19.405
Acholi,2016-08-06,29.13125,19.07625
Acholi,2016-08-07,30.60875,18.64375
Acholi,2016-08-08,26.47625,19.62125
Acholi,2016-08-09,29.35875,18.725
Acholi,2016-08-10,28.7775,19.05
Acholi,2016-08-11,30.59375,19.0575
Acholi,2016-08-12,31.18625,20.3125
Acholi,2016-08-13,32.32,19.997500000000002
Acholi,2016-08-14,31.91375,19.365000000000002
Acholi,2016-08-15,33.6375,18.45875
Acholi,2016-08-16,32.1025,18.9175
Acholi,2016-08-17,29.4375,19.267500000000002
Acholi,2016-08-18,30.24375,18.745
Acholi,2016-08-19,30.18375,19.15375
Acholi,2016-08-20,30.86,19.70375
Acholi,2016-08-21,28.634999999999998,19.12
Acholi,2016-08-22,30.97125,18.0025
Acholi,2016-08-23,30.6325,18.69375
Acholi,2016-08-24,27.73,19.70375
Acholi,2016-08-25,28.28625,18.87375
Acholi,2016-08-26,28.830000000000002,18.15375
Acholi,2016-08-27,29.73375,18.28125
Acholi,2016-08-28,31.1325,16.6425
Acholi,2016-08-29,30.7725,16.84125
Acholi,2016-08-30,30.0375,19.72375
Acholi,2016-08-31,30.84,19.32875
Acholi,2016-09-01,31.3675,19.10375
Acholi,2016-09-02,29.353749999999998,19.69125
Acholi,2016-09-03,30.8525,19.68
Acholi,2016-09-04,31.06625,19.62125
Acholi,2016-09-05,32.89375,19.697499999999998
Acholi,2016-09-06,33.99875,18.93625
Acholi,2016-09-07,33.76,19.19125
Acholi,2016-09-08,32.85875,20.645
Acholi,2016-09-09,31.986250000000002,20.71625
Acholi,2016-09-10,29.9175,19.51375
Acholi,2016-09-11,32.05375,18.32875
Acholi,2016-09-12,30.606249999999996,20.41875
Acholi,2016-09-13,30.8475,19.1625
Acholi,2016-09-14,29.627499999999998,20.40125
Acholi,2016-09-15,29.06,19.47625
