model,feature_space,observations,rmse,mae,r2,skill_vs_training_global_mean,skill_vs_training_crop_mean,target_scale,result_scope,registered_primary_metric,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper,global_skill_ci_lower,global_skill_ci_upper,crop_skill_ci_lower,crop_skill_ci_upper,crop
training_crop_mean,baseline,27,0.24793928132903287,0.2052310098891013,-0.018775190643102402,0.9596400620744442,0.0,raw,per_crop,False,,,,,,,,,beans
training_crop_mean,baseline,28,0.18939927109948568,0.14741861761682973,-0.020651598528719894,0.9830162536255559,0.0,raw,per_crop,False,,,,,,,,,groundnuts
training_crop_mean,baseline,16,2.441173414241117,2.034462645968473,-0.22543171544664298,0.4774396901652389,0.0,raw,per_crop,False,,,,,,,,,irish_potatoes
training_crop_mean,baseline,28,1.3602936031998716,0.9936840411733631,-0.07882043263707561,0.09292696978124182,0.0,raw,per_crop,False,,,,,,,,,maize
training_crop_mean,baseline,27,0.4187456193311354,0.3092478204017816,-0.14590571355426807,0.9188911732813002,0.0,raw,per_crop,False,,,,,,,,,millet
training_crop_mean,baseline,24,0.7538690417782354,0.5203188318453392,-0.21704100946241267,0.21011966952856487,0.0,raw,per_crop,False,,,,,,,,,rice
training_crop_mean,baseline,20,0.23073243895590034,0.1537886965658907,-0.019228936455079504,0.9795889280335464,0.0,raw,per_crop,False,,,,,,,,,simsim
training_crop_mean,baseline,28,1.0138831440713743,0.8224007375107824,-0.05529601182382793,0.3006530066926214,0.0,raw,per_crop,False,,,,,,,,,sorghum
training_crop_mean,baseline,25,8.950712737511282,3.521794366314073,-0.09337633117848831,-0.0810409262358327,0.0,raw,per_crop,False,,,,,,,,,soya_beans
training_crop_mean,baseline,26,4.045073920560258,3.035213010263352,-0.04058868151277806,0.4978246933448385,0.0,raw,per_crop,False,,,,,,,,,sweet_potatoes
training_crop_season_mean,baseline,27,0.1824842335420545,0.15070404244562705,0.44812797475954347,0.9781369620244723,0.45829852325704257,raw,per_crop,False,,,,,,,,,beans
training_crop_season_mean,baseline,28,0.17914062665071206,0.12964191469638303,0.08691945016426383,0.984806246813112,0.10539448411980012,raw,per_crop,False,,,,,,,,,groundnuts
training_crop_season_mean,baseline,16,2.0730974833523454,1.6669336745401033,0.11624618458153047,0.6231412474628124,0.27882247188586873,raw,per_crop,False,,,,,,,,,irish_potatoes
training_crop_season_mean,baseline,28,1.197668144833026,0.8557212058331742,0.16371010588928236,0.2968468287738443,0.22481085006289214,raw,per_crop,False,,,,,,,,,maize
training_crop_season_mean,baseline,27,0.4118128626012794,0.28894949843589246,-0.10827655471615061,0.9215546183515798,0.03283791885582166,raw,per_crop,False,,,,,,,,,millet
training_crop_season_mean,baseline,24,0.7856854572016141,0.5383459779535715,-0.32193719848251257,0.14204025740999604,-0.08618952706156913,raw,per_crop,False,,,,,,,,,rice
training_crop_season_mean,baseline,20,0.26714206100783905,0.18405111532953683,-0.3662776871999873,0.9726389320375934,-0.3405012733959041,raw,per_crop,False,,,,,,,,,simsim
